1, 289, 4885, 7, 98.48484848484847, 174, 2973, 29, 59.67676767676767, 242, 4094, 24, 82.10101010101009
2, 283, 4757, 24, 95.97979797979794, 203, 3440, 25, 69.07070707070707, 259, 4335, 28, 87.01010101010101
3, 294, 4894, 12, 98.36363636363635, 185, 3192, 27, 63.95959595959595, 246, 4161, 25, 83.4545454545454
4, 287, 4827, 14, 97.07070707070703, 183, 3111, 28, 61.91919191919189, 255, 4320, 26, 86.32323232323232
5, 291, 4891, 8, 97.979797979798, 186, 3063, 29, 61.25252525252521, 249, 4162, 25, 83.61616161616162
6, 285, 4823, 26, 97.09090909090905, 194, 3298, 27, 66.16161616161614, 249, 4250, 26, 85.49494949494945
7, 291, 4860, 7, 98.00000000000001, 196, 3142, 29, 62.80808080808079, 261, 4265, 22, 86.02020202020198
8, 293, 4837, 27, 96.76767676767673, 202, 3280, 27, 65.57575757575758, 267, 4324, 22, 86.64646464646461
9, 292, 4840, 20, 97.39393939393936, 204, 3425, 26, 68.46464646464648, 258, 4325, 22, 86.96969696969693
10, 293, 4861, 7, 97.81818181818181, 189, 3183, 28, 64.00000000000001, 252, 4285, 21, 85.85858585858583
11, 293, 4825, 10, 97.13131313131308, 186, 3081, 28, 61.595959595959606, 253, 4134, 26, 83.05050505050505
12, 294, 4873, 16, 97.9191919191919, 176, 2940, 29, 59.13131313131313, 247, 4159, 25, 83.49494949494951
13, 287, 4802, 25, 96.06060606060602, 184, 3044, 28, 60.505050505050505, 263, 4317, 21, 86.88888888888887
14, 300, 4923, 7, 98.70707070707071, 179, 3002, 29, 59.65656565656564, 263, 4366, 21, 87.25252525252527
15, 296, 4840, 23, 97.69696969696967, 212, 3433, 25, 69.03030303030305, 247, 4002, 27, 80.70707070707068
16, 294, 4839, 12, 97.4949494949495, 222, 3610, 24, 72.86868686868685, 259, 4274, 28, 85.6767676767677
17, 294, 4881, 9, 98.24242424242425, 177, 3029, 29, 61.050505050505066, 253, 4158, 27, 83.39393939393938
18, 291, 4805, 10, 96.92929292929291, 203, 3281, 28, 66.06060606060605, 249, 4047, 26, 81.55555555555554
19, 295, 4817, 24, 96.84848484848477, 195, 3093, 27, 62.20202020202019, 259, 4220, 23, 84.90909090909089
20, 298, 4875, 9, 98.26262626262621, 186, 3079, 28, 61.5959595959596, 249, 4081, 26, 81.9191919191919
21, 297, 4868, 21, 97.81818181818178, 202, 3268, 27, 65.41414141414143, 263, 4283, 27, 85.83838383838382
22, 296, 4865, 12, 97.67676767676764, 187, 3065, 29, 61.212121212121204, 261, 4215, 26, 84.56565656565652
23, 295, 4854, 20, 97.55555555555554, 202, 3307, 25, 66.66666666666669, 259, 4226, 23, 85.23232323232324
24, 294, 4842, 10, 97.87878787878788, 193, 3210, 28, 64.7070707070707, 241, 4007, 26, 80.38383838383834
25, 298, 4858, 25, 97.57575757575752, 189, 3027, 28, 60.42424242424244, 267, 4276, 21, 85.95959595959596
26, 296, 4843, 20, 97.5959595959596, 189, 3117, 29, 62.18181818181818, 261, 4226, 23, 85.010101010101
27, 290, 4765, 26, 96.16161616161614, 188, 3080, 28, 61.757575757575765, 248, 4078, 28, 81.91919191919192
28, 295, 4873, 20, 98.06060606060602, 205, 3397, 27, 68.14141414141415, 266, 4394, 21, 88.34343434343434
29, 295, 4825, 23, 97.11111111111107, 191, 3086, 28, 61.95959595959595, 257, 4179, 24, 83.73737373737372
30, 293, 4831, 24, 97.21212121212118, 198, 3169, 28, 63.25252525252526, 244, 3984, 26, 80.12121212121214
31, 299, 4889, 8, 98.46464646464648, 190, 3160, 28, 63.595959595959606, 258, 4345, 25, 87.21212121212119
32, 293, 4850, 12, 97.27272727272724, 192, 3113, 28, 62.16161616161615, 269, 4414, 22, 88.30303030303028
33, 296, 4857, 23, 97.55555555555554, 203, 3236, 27, 64.74747474747475, 262, 4277, 26, 85.73737373737374
34, 294, 4851, 21, 97.8181818181818, 191, 3243, 27, 64.76767676767676, 252, 4188, 24, 83.91919191919193
35, 299, 4865, 9, 98.08080808080807, 181, 2955, 29, 59.25252525252528, 269, 4340, 20, 87.49494949494948
36, 292, 4840, 23, 97.3333333333333, 229, 3680, 23, 73.55555555555559, 255, 4187, 24, 83.65656565656566
37, 296, 4838, 12, 97.4949494949495, 208, 3362, 26, 67.45454545454545, 258, 4167, 22, 83.83838383838383
38, 298, 4886, 14, 98.08080808080804, 193, 3178, 27, 63.737373737373744, 246, 4083, 25, 81.83838383838385
39, 297, 4858, 9, 97.53535353535352, 189, 3056, 29, 61.09090909090908, 264, 4297, 22, 86.64646464646465
40, 299, 4880, 9, 98.08080808080808, 180, 3026, 29, 60.34343434343436, 260, 4254, 26, 85.0909090909091
41, 299, 4888, 23, 98.02020202020202, 201, 3308, 27, 66.06060606060608, 254, 4168, 28, 83.43434343434343
42, 297, 4829, 23, 96.80808080808077, 181, 2974, 29, 59.07070707070705, 260, 4238, 23, 85.1919191919192
43, 303, 4908, 9, 99.07070707070703, 184, 2995, 29, 60.121212121212125, 226, 3780, 25, 75.81818181818184
44, 300, 4886, 16, 97.73737373737374, 182, 2965, 29, 58.98989898989897, 257, 4166, 26, 83.41414141414143
45, 299, 4874, 15, 97.67676767676764, 187, 3099, 28, 61.818181818181806, 254, 4130, 26, 82.52525252525253
46, 302, 4900, 8, 98.24242424242422, 198, 3176, 29, 63.45454545454544, 262, 4237, 22, 85.07070707070703
47, 297, 4858, 13, 97.61616161616158, 191, 3152, 28, 63.01010101010103, 270, 4394, 20, 88.12121212121212
